Station Name: DUBLIN AIRPORT
Station Height: 71 M 
Latitude:53.428  ,Longitude: -6.241


year:  -  Year
month: -  Month
rain:  -  Precipitation Amount (mm)
meant: -  Mean Air Temperature (C)
maxtp: -  Maximum Air Temperature (C)	  
mintp: -  Minimum  Air Temperature (C)	
mnmax: -  Mean Maximum Temperature (C)
mnmin: -  Mean Minimum Temperature (C)
gmin:  -  Grass Minimum Temperature (C)
wdsp:  -  Mean Wind Speed (knot)
mxgt:  -  Highest Gust (knot)
sun:   -  Sunshine duration (hours)
ind:   -  Indicator

year,month,meant,maxtp,mintp,mnmax,mnmin,rain,gmin,wdsp,maxgt,sun
1941,11,6.9,14.0,-3.1,9.9,3.9,67.2,-5.7,12.0, ,56.1
1941,12,6.5,12.7,-3.6,9.1,3.9,41.7,-7.6,12.5, ,46.1
1942,1,4.3,11.9,-3.1,6.9,1.7,91.9,-9.5,13.1, ,72.8
1942,2,2.9,11.6,-4.3,5.8,-0.0,25.8,-10.7,9.0, ,51.4
1942,3,6.3,16.2,-6.1,9.4,3.2,76.4,-8.3,10.7, ,73.9
1942,4,8.4,16.2,0.8,11.9,4.9,36.9,-0.4,15.1, ,185.4
1942,5,10.4,20.9,1.8,14.4,6.3,108.2,-0.7,12.0, ,195.9
1942,6,13.1,24.1,1.4,18.0,8.2,4.0,-0.9,9.4, ,224.8
1942,7,14.6,22.2,7.2,18.9,10.4,57.0,2.4,13.4, ,182.7
1942,8,14.9,22.3,6.7,18.4,11.4,93.0,4.6,10.8, ,113.7
1942,9,12.5,21.1,0.6,16.0,8.9,122.4,-1.2,12.6, ,126.1
1942,10,9.4,19.0,0.2,13.1,5.8,33.0,-6.1,12.9, ,100.9
1942,11,5.1,12.8,-2.9,8.5,1.7,9.7,-6.8,8.9, ,58.5
1942,12,7.4,13.6,-1.7,10.3,4.5,62.1,-4.6,15.1, ,38.8
1943,1,5.9,12.2,-1.6,8.5,3.3,107.2,-7.2,15.0, ,76.5
1943,2,6.7,12.2,0.0,9.7,3.7,22.0,-4.3,16.6, ,92.0
1943,3,6.9,13.4,-2.5,10.4,3.4,20.3,-5.2,12.3, ,123.8
1943,4,9.8,17.0,1.6,13.8,5.7,33.9,-4.1,15.1, ,143.7
1943,5,10.0,19.1,0.0,14.4,5.7,88.1,-1.2,11.1, ,238.6
1943,6,13.2,23.8,5.2,17.5,8.9,80.6,1.7,12.1, ,215.8
1943,7,14.8,24.5,6.1,19.1,10.4,45.1,2.2,10.9, ,214.2
1943,8,14.4,21.6,5.7,18.2,10.6,50.5,2.9,13.9, ,138.1
1943,9,12.2,20.0,0.7,15.8,8.6,76.7,-0.4,13.5, ,129.6
1943,10,10.6,17.9,2.0,14.1,7.1,53.8,-3.2,14.3, ,98.6
1943,11,6.6,14.9,-1.4,9.6,3.6,52.7,-2.9,14.2, ,77.9
1943,12,5.1,11.4,-2.8,7.6,2.6,38.0,-8.4,12.0, ,48.7
1944,1,7.0,12.8,-0.6,9.8,4.1,84.6,-5.6,16.3, ,54.9
1944,2,4.8,13.1,-2.9,7.7,1.8,25.5,-5.7,14.0, ,76.6
1944,3,5.7,18.2,-3.1,9.8,1.6,11.5,-7.8,8.5, ,148.0
1944,4,9.6,19.7,0.0,14.0,5.3,44.1,-6.8,10.7,40,158.0
1944,5,10.6,21.6,1.0,15.0,6.3,18.9,-2.0,9.4,52,190.3
1944,6,12.6,24.0,4.5,16.8,8.3,31.6,0.9,10.8,49,162.0
1944,7,15.0,22.5,8.6,18.3,11.8,57.7,4.7,7.9,34,89.9
1944,8,15.6,24.2,7.0,19.7,11.4,56.9,3.8,8.4,40,187.5
1944,9,11.6,19.8,2.8,15.7,7.5,146.4,-2.8,10.4,44,130.3
1944,10,8.7,15.6,2.2,12.1,5.4,72.1,-1.3,10.7,44,115.6
1944,11,6.5,14.4,-1.7,9.7,3.3,124.2,-2.4,12.9,54,62.5
1944,12,5.1,12.4,-2.5,7.7,2.5,48.9,-4.9,11.6,51,72.2
1945,1,2.0,11.0,-7.7,4.6,-0.6,30.9,-12.4,12.7, ,71.0
1945,2,7.6,15.3,-1.6,11.2,4.1,56.7,-3.7,14.0, ,85.2
1945,3,8.5,14.9,-1.7,12.1,5.0,14.7,-6.8,11.1, ,114.8
1945,4,9.2,18.7,-2.2,13.2,5.2,37.4,-3.3,10.0, ,202.5
1945,5,10.7,21.7,-1.4,15.1,6.3,49.4,-4.5,9.1,47,193.5
1945,6,13.4,20.8,6.2,17.4,9.5,83.4,4.2,11.3,41,179.2
1945,7,15.1,23.2,7.2,18.8,11.4,82.9,5.0,10.1,37,133.7
1945,8,14.8,21.6,6.7,18.9,10.7,24.0,5.9,7.6,37,179.7
1945,9,13.7,22.2,5.5,17.1,10.3,66.6,1.9,9.8,59,115.6
1945,10,11.5,19.0,2.1,14.7,8.4,43.6,0.2,8.1,52,96.3
1945,11,8.2,14.6,-1.8,10.9,5.6,15.3,-4.1,7.6,27,57.3
1945,12,6.7,12.9,-0.9,9.4,4.0,86.5,-3.2,11.7,50,51.1
1946,1,4.7,11.6,-6.8,7.6,1.8,59.8,-10.6,12.5,52,66.4
1946,2,5.9,12.1,-4.8,8.5,3.3,89.0,-6.7,13.9,52,84.5
1946,3,6.0,16.8,-3.2,9.4,2.7,43.0,-10.0,11.3,40,124.2
1946,4,8.6,18.0,0.4,12.6,4.6,32.3,-1.1,10.7,40,157.7
1946,5,9.3,16.6,-1.2,12.6,5.9,56.0,-2.2,11.2,40,225.0
1946,6,12.1,22.6,4.4,16.3,7.9,74.6,1.7,10.8,55,182.8
1946,7,14.5,23.1,6.1,18.5,10.5,61.8,5.2,10.7,54,172.9
1946,8,13.3,22.1,5.4,17.0,9.7,128.3,2.8,9.9,41,133.1
1946,9,12.8,18.9,7.2,15.9,9.7,145.6,3.4,12.0,47,84.5
1946,10,10.5,17.2,3.9,12.5,8.4,51.9,0.6,9.9,31,66.3
1946,11,7.9,17.4,0.4,10.6,5.2,101.2,-1.1,11.4,49,56.3
1946,12,4.1,10.4,-3.1,7.0,1.2,78.2,-6.7,11.0,62,66.5
1947,1,3.9,12.1,-6.7,6.5,1.3,69.9,-15.0,12.2,53,30.3
1947,2,0.2,4.8,-10.9,1.9,-1.4,62.3,-8.9,13.3,55,28.2
1947,3,3.9,14.4,-7.7,6.8,1.1,147.5,-9.8,11.3,58,81.6
1947,4,8.1,17.7,0.1,12.0,4.2,71.6,-5.4,13.6,62,158.8
1947,5,10.6,20.4,2.8,14.1,7.1,87.9,-1.1,9.0,42,179.9
1947,6,13.1,20.3,6.5,16.5,9.7,104.6,4.1,8.5,43,164.1
1947,7,14.3,25.0,6.9,17.8,10.8,69.2,1.7,7.9,34,148.5
1947,8,16.3,24.0,8.5,20.3,12.2,32.7,4.4,5.2,27,275.0
1947,9,13.6,23.5,2.7,17.5,9.6,59.5,1.0,9.0,49,119.1
1947,10,11.3,18.7,3.7,14.5,8.1,18.5,-0.6,7.5,34,110.8
1947,11,7.5,17.6,-3.6,10.3,4.7,73.1,-5.2,11.6,55,82.1
1947,12,5.6,12.2,-4.9,7.9,3.4,119.1,-7.9,10.7,42,51.2
1948,1,4.8,12.8,-2.2,7.5,2.2,171.4,-6.8,12.8,68,66.4
1948,2,5.3,13.0,-2.8,7.9,2.7,35.3,-7.3,13.2,68,67.7
1948,3,8.7,20.1,0.1,12.7,4.6,39.2,-5.2,10.0,53,161.8
1948,4,8.2,17.9,-1.1,12.2,4.3,62.5,-3.6,9.7,56,180.3
1948,5,9.7,19.0,0.1,14.1,5.4,64.3,-1.2,7.6,35,228.2
1948,6,12.4,21.5,4.2,16.2,8.5,71.1,1.7,10.1,43,178.3
1948,7,14.2,25.9,6.4,18.1,10.3,57.0,4.1,9.4,42,168.0
1948,8,14.3,21.9,6.2,17.7,10.8,88.6,5.1,9.1,54,115.2
1948,9,13.0,20.1,2.3,16.8,9.1,53.1,1.2,11.1,43,122.4
1948,10,10.2,19.2,-2.2,13.4,7.1,39.1,-7.1,10.7,43,87.4
1948,11,9.0,15.7,-0.6,11.9,6.1,41.6,-4.8,10.8,45,65.4
1948,12,6.5,17.1,-0.7,9.1,3.9,106.9,-4.1,12.1,59,70.7
1949,1,6.2,12.3,-2.3,9.1,3.4,53.4,-6.8,12.9,48,61.1
1949,2,6.6,13.0,-0.4,9.7,3.6,25.8,-3.3,13.2,54,93.1
1949,3,6.1,13.7,-2.8,9.5,2.6,57.6,-4.5,9.8,43,114.9
1949,4,9.2,18.1,-1.1,13.1,5.2,46.1,-4.6,12.4,53,155.2
1949,5,10.2,22.4,0.9,14.6,5.8,40.4,-2.2,8.3,40,226.0
1949,6,14.3,26.2,4.4,18.8,9.8,22.3,-1.1,6.4,40,273.3
1949,7,15.6,24.8,6.9,19.4,11.7,40.7,5.0,7.9,34,170.6
1949,8,15.2,23.4,4.4,19.2,11.2,80.3,3.2,7.9,40,161.5
1949,9,14.7,21.2,5.9,18.4,10.9,23.1,2.4,8.7,37,180.4
1949,10,11.3,19.9,-1.2,14.4,8.1,96.3,-3.0,10.1,53,86.1
1949,11,7.1,13.3,0.6,10.2,4.1,36.5,-3.9,11.3,52,84.9
1949,12,5.9,12.3,-3.9,8.7,3.0,74.8,-4.7,14.4,55,56.6
1950,1,6.0,13.4,-2.8,8.6,3.4,10.5,-9.4,11.1,48,52.0
1950,2,5.5,13.9,-3.0,8.6,2.4,107.3,-6.7,12.8,50,68.7
1950,3,7.4,14.1,-1.2,11.2,3.6,33.6,-5.0,9.9,48,129.9
1950,4,7.1,16.1,-1.1,10.9,3.4,51.1,-2.3,13.0,55,150.6
1950,5,10.6,18.9,2.0,14.3,6.9,41.6,-2.1,9.6,41,224.0
1950,6,14.6,25.9,5.1,19.2,10.0,28.8,3.5,8.5,36,233.1
1950,7,14.7,21.1,6.5,18.5,11.0,81.6,4.9,8.8,45,165.9
1950,8,14.2,20.2,7.8,18.2,10.3,145.8,5.7,9.5,46,172.7
1950,9,11.8,21.2,4.2,15.4,8.1,102.8,1.1,12.8,57,128.9
